CVE,Highest_Threshold,Group_Size,Is_Base_CVE,Ratio_Score,Token_Sort_Score,Token_Set_Score,Similar_CVEs
CVE-2021-38008,95.0,95.0,False,95.68106312292359,94.35215946843853,95.43859649122807,CVE-2022-2855|CVE-2022-0606|CVE-2022-2011|CVE-2020-6463|CVE-2020-6542|CVE-2021-30604|CVE-2022-1479|CVE-2022-1854|CVE-2022-1639|CVE-2022-0978|CVE-2022-0975|CVE-2022-0609|CVE-2020-6377|CVE-2020-6545|CVE-2021-21114|CVE-2020-6428|CVE-2020-6429|CVE-2020-6449|CVE-2020-6427|CVE-2020-15972|CVE-2020-6406|CVE-2020-6423|CVE-2021-30510|CVE-2021-30546|CVE-2021-30572|CVE-2021-4065|CVE-2021-30544|CVE-2022-1308|CVE-2022-2857|CVE-2019-5808|CVE-2020-6552|CVE-2021-21206|CVE-2019-5869|CVE-2021-21112|CVE-2020-6474|CVE-2021-21188|CVE-2021-21203|CVE-2020-15968|CVE-2019-13687|CVE-2019-5842|CVE-2019-13688|CVE-2021-21193|CVE-2021-21122|CVE-2021-30560|CVE-2022-1131|CVE-2022-1919|CVE-2022-2156|CVE-2020-6539|CVE-2022-2852|CVE-2021-30515|CVE-2021-21145|CVE-2022-0607|CVE-2021-30573|CVE-2021-37982|CVE-2020-6550|CVE-2019-13696|CVE-2022-3040|CVE-2021-30548|CVE-2021-38005|CVE-2020-16001|CVE-2020-6544|CVE-2020-6549|CVE-2020-6424|CVE-2022-0796|CVE-2022-1855|CVE-2019-5872|CVE-2022-2603|CVE-2020-6459|CVE-2022-0468|CVE-2022-2478|CVE-2020-16003|CVE-2020-15993|CVE-2021-21194|CVE-2020-6532|CVE-2019-13685|CVE-2020-6386|CVE-2020-6378|CVE-2021-30569|CVE-2022-0096|CVE-2022-1305|CVE-2022-2854|CVE-2021-4099|CVE-2022-1478|CVE-2022-0103|CVE-2021-30579|CVE-2019-5813|CVE-2021-4102|CVE-2021-21195|CVE-2020-6379|CVE-2021-30541|CVE-2021-37975|CVE-2019-5878|CVE-2020-6448|CVE-2020-15994
CVE-2021-38011,95.0,2.0,True,,,,CVE-2021-38006
CVE-2021-38012,95.0,32.0,False,95.97315436241611,95.30201342281879,95.74468085106383,CVE-2020-6464|CVE-2022-0795|CVE-2021-30627|CVE-2021-4056|CVE-2021-30551|CVE-2021-30588|CVE-2022-2295|CVE-2020-6383|CVE-2020-6418|CVE-2021-30563|CVE-2021-30561|CVE-2021-30517|CVE-2021-30513|CVE-2021-38007|CVE-2022-2158|CVE-2022-1134|CVE-2022-1869|CVE-2020-6468|CVE-2021-38001|CVE-2022-0102|CVE-2022-1232|CVE-2022-0457|CVE-2022-1096|CVE-2022-1314|CVE-2020-6512|CVE-2020-6533|CVE-2020-6430|CVE-2021-4078|CVE-2021-4061|CVE-2021-21230|CVE-2018-6122
CVE-2021-38013,80.0,12.0,False,88.47926267281106,87.09677419354838,93.03621169916434,CVE-2020-16025|CVE-2023-1219|CVE-2021-37981|CVE-2023-4354|CVE-2021-21155|CVE-2021-21154|CVE-2020-16010|CVE-2020-16011|CVE-2020-16024|CVE-2021-21222|CVE-2023-1810
CVE-2021-38014,95.0,5.0,False,96.59442724458205,95.3560371517028,96.41693811074919,CVE-2019-5846|CVE-2019-5845|CVE-2019-5844|CVE-2020-6388
CVE-2021-3826,,,False,,,,
CVE-2021-3835,90.0,2.0,True,,,,CVE-2021-3625
CVE-2021-3861,,,False,,,,
CVE-2021-38682,95.0,5.0,False,98.24086603518268,98.24086603518268,100.0,CVE-2021-38689|CVE-2021-38692|CVE-2021-38691|CVE-2021-38690
CVE-2021-38687,70.0,7.0,False,77.9547359597653,74.76948868398993,84.21052631578948,CVE-2021-34344|CVE-2021-38689|CVE-2021-38692|CVE-2021-38691|CVE-2021-38690|CVE-2021-38682
CVE-2021-38689,95.0,5.0,True,,,,CVE-2021-38692|CVE-2021-38691|CVE-2021-38690|CVE-2021-38682
CVE-2021-38690,95.0,5.0,False,100.0,100.0,100.0,CVE-2021-38689|CVE-2021-38692|CVE-2021-38691|CVE-2021-38682
CVE-2021-38691,95.0,5.0,False,100.0,100.0,100.0,CVE-2021-38689|CVE-2021-38692|CVE-2021-38690|CVE-2021-38682
CVE-2021-38692,95.0,5.0,False,100.0,100.0,100.0,CVE-2021-38689|CVE-2021-38691|CVE-2021-38690|CVE-2021-38682
CVE-2021-39048,75.0,3.0,True,,,,CVE-2021-20546|CVE-2021-20349
CVE-2021-39049,95.0,2.0,True,,,,CVE-2021-39050
CVE-2021-39050,95.0,2.0,False,99.15611814345992,99.15611814345992,99.04306220095694,CVE-2021-39049
CVE-2021-39306,,,False,,,,
CVE-2021-3942,,,False,,,,
CVE-2021-39623,85.0,13.0,False,88.26979472140762,83.87096774193549,87.55760368663594,CVE-2020-0409|CVE-2019-2008|CVE-2021-0436|CVE-2019-2203|CVE-2019-2202|CVE-2020-0033|CVE-2021-0471|CVE-2021-0510|CVE-2020-0079|CVE-2022-20454|CVE-2021-0476|CVE-2021-0577
CVE-2021-39642,85.0,5.0,False,88.18181818181819,82.72727272727273,86.1198738170347,CVE-2022-20231|CVE-2022-42510|CVE-2022-20256|CVE-2023-21151
CVE-2021-39665,90.0,4.0,False,91.14331723027375,86.63446054750402,88.48080133555926,CVE-2020-0492|CVE-2022-20273|CVE-2020-0498
CVE-2021-39667,90.0,3.0,False,93.91796322489392,93.91796322489392,93.72262773722628,CVE-2021-0690|CVE-2021-0325
CVE-2021-39671,85.0,2.0,False,85.08474576271186,78.64406779661017,85.12110726643598,CVE-2019-9329
CVE-2021-39675,90.0,2.0,False,90.03322259136213,86.71096345514951,89.88326848249028,CVE-2021-0577
CVE-2021-39688,85.0,2.0,False,86.72,84.16,89.94082840236686,CVE-2023-21154
CVE-2021-39708,90.0,2.0,False,91.52542372881356,88.4437596302003,92.80575539568345,CVE-2021-0918
CVE-2021-39712,90.0,2.0,False,91.50779896013866,90.81455805892547,93.57429718875503,CVE-2022-20185
CVE-2021-39735,90.0,2.0,True,,,,CVE-2021-39725
CVE-2021-39762,90.0,3.0,False,90.46793760831889,86.30849220103987,89.69258589511755,CVE-2021-0976|CVE-2020-0270
CVE-2021-39805,95.0,2.0,True,,,,CVE-2022-20010
CVE-2021-39812,90.0,2.0,False,90.64516129032259,88.06451612903226,90.9090909090909,CVE-2022-20364
CVE-2021-39820,85.0,8.0,False,85.2359208523592,82.49619482496196,88.76404494382022,CVE-2021-39830|CVE-2021-39832|CVE-2021-39818|CVE-2021-39819|CVE-2021-40779|CVE-2021-40780|CVE-2021-40777
CVE-2021-3999,,,False,,,,
CVE-2021-39990,70.0,5.0,True,,,,CVE-2023-52110|CVE-2022-37005|CVE-2023-1693|CVE-2023-1694
CVE-2021-39996,80.0,13.0,False,81.15015974440894,76.03833865814697,80.0,CVE-2021-22427|CVE-2021-37049|CVE-2021-37022|CVE-2020-9138|CVE-2021-22414|CVE-2021-37087|CVE-2021-37014|CVE-2021-37043|CVE-2021-37021|CVE-2021-37011|CVE-2021-37020|CVE-2021-22412
CVE-2021-40010,90.0,2.0,True,,,,CVE-2021-40036
CVE-2021-40014,75.0,2.0,False,77.27272727272727,74.67532467532467,80.88888888888889,CVE-2021-40027
CVE-2021-40026,90.0,5.0,False,91.85667752442997,91.20521172638436,95.1219512195122,CVE-2021-40038|CVE-2021-40039|CVE-2021-40031|CVE-2021-40009
CVE-2021-40057,90.0,3.0,True,,,,CVE-2021-40060|CVE-2021-40058
CVE-2021-40058,95.0,2.0,False,100.0,100.0,100.0,CVE-2021-40060
CVE-2021-40060,95.0,2.0,True,,,,CVE-2021-40058
CVE-2021-40064,80.0,6.0,False,82.58064516129032,76.77419354838709,86.60714285714286,CVE-2021-40057|CVE-2021-40060|CVE-2021-40058|CVE-2021-40048|CVE-2021-40052
CVE-2021-40161,80.0,2.0,False,82.92682926829268,78.04878048780488,84.12017167381974,CVE-2021-40163
